itemdescri,qty,value,e,f,g,h,i,j,k
"","","","","","","","","",""
"3M","","","","","","","","",""
"TRANSPORE                     1S","  -","0.00"," 12","528.00"," 12","600.00","  -","0.00","  -"
" TOTAL","  0","0.00"," 12","528.00"," 12","600.00","  0","0.00","  0"
"","","","","","","","","",""
"AJANTA PHARMA LTD","","","","","","","","",""
"APDROPS                       5ML","  8","907.74","  -","0.00","  -","0.00","  8","907.74","  8"
"GATE-P                        10ML"," 17","490.75","  -","0.00","  -","0.00"," 17","490.75","  -"
"LOTEL GEL                     5ML","  9","985.00","  -","0.00","  -","0.00","  9","985.00","  9"
"OLOPAT                        5ML"," 11","1333.14","  -","0.00","  -","0.00"," 11","1333.14","  7"
"OLOPAT OD                     5ML","  6","813.80","  -","0.00","  -","0.00","  6","813.80","  6"
"VIRSON GEL                    5GM"," 18","1740.39","  -","0.00","  -","0.00"," 18","1740.39"," 17"
" TOTAL"," 69","6270.81","  0","0.00","  0","0.00"," 69","6270.81","  0"
"","","","","","","","","",""
"ALKEM LABORATORIES LTD","","","","","","","","",""
"ENTISEP                       1000ML","  -","0.00","  1","92.00","  -","0.00","  1","92.00","  -"
"POVIKEM                       500ML","  -","0.00","  1","114.00","  -","0.00","  1","114.00","  -"
"POVIKEM SCRUB                 500ML","  1","187.00","  -","0.00","  1","220.00","  -","0.00","  -"
" TOTAL","  1","187.00","  2","206.00","  1","220.00","  2","206.00","  0"
"","","","","","","","","",""
"ALLERGAN INDIA PVT LTD","","","","","","","","",""
"COMBIGAN                      5ML"," 14","4511.22","  -","0.00","  9","3068.18","  5","1611.15","  -"
"FML                           5ML","  8","795.19","  -","0.00","  8","856.36","  -","0.00","  -"
"L-PRED                        5ML","  3","403.55","  -","0.00","  -","0.00","  3","403.55","  1"
"LUMIGAN 0.01%                 3ML","  5","2133.68","  -","0.00","  -","0.00","  5","2133.68","  5"
"OPTIVE                        10ML","  6","609.08"," 10","1015.13","  -","0.00"," 16","1624.21","  -"
"PREDFORTE                     10ML"," 20","913.52"," 30","1370.28"," 40","1884.73"," 10","456.76","  -"
"REFRESH LIQUIGEL              10ML"," 11","1715.14"," 20","3118.43"," 11","1818.52"," 20","3118.43","  -"
"REFRESH TEARS                 10ML","  7","787.03"," 30","3373.00"," 18","2139.90"," 19","2136.23","  -"
"TEARSPLUS                     10ML"," 13","927.26","  -","0.00","  -","0.00"," 13","927.26","  -"
"ZYMAR E/O                     5GM"," 10","740.20","  -","0.00","  -","0.00"," 10","740.20","  8"
" TOTAL"," 97","13535.87"," 90","8876.84"," 86","9767.69","101","13151.4","  0"
"","","","","","","","","",""
"AMERICAN PHARMA REMEDIES LLP","","","","","","","","",""
"DIANAREST AQUA                5S","100","400.00","  -","0.00","100","425.00","  -","0.00","  -"
" TOTAL","100","400.00","  0","0.00","100","425.00","  0","0.00","  0"
"","","","","","","","","",""
"APPASAMY OCULAR DEVICES P LTD","","","","","","","","",""
"A-CAINE                       5ML"," 28","990.08","  -","0.00","  -","0.00"," 28","990.08","  5"
"APIDINE-5                     5ML","  5","97.95"," 50","894.50"," 30","591.43"," 25","489.75","  -"
"APPAMIDE PLUS                 5ML"," 10","381.82"," 30","1050.00","  -","0.00"," 40","1527.27","  -"
"APPAVISC 5ML                  5ML"," 10","509.09","220","11200.00","110","6847.50","120","6109.09","  -"
"APPAVISC PFS 3ML              3ML","  -","0.00","100","8119.00"," 49","4422.25"," 51","4554.81","  -"
"APPAVISC VAIL 3ML             3ML"," 50","2192.28","  -","0.00"," 25","1340.00"," 25","1096.14","  -"
"ART                           10ML"," 33","1840.08","-33","-1840.08","  -","0.00","  -","0.00","  -"
"ART GEL                       10ML"," 98","4967.94"," 74","3725.96"," 94","5464.81"," 78","3954.08","  -"
"ART PLUS                      10ML"," 81","3570.48"," 73","3239.88"," 71","3629.42"," 83","3658.64","  -"
"B-CAINE 10ML                  1S","  5","123.75","  -","0.00","  -","0.00","  5","123.75","  5"
"C-PENT                        5ML"," 64","1529.07","  -","0.00"," 25","796.50"," 39","931.78","  -"
"CLEARSOL 500ML                1S","  -","0.00"," 36","4248.00"," 12","1800.00"," 24","2832.00","  -"
"COHEVISC 1.4                  1S","  5","1500.00"," 10","3000.00","  5","1750.00"," 10","3000.00","  -"
"HYLOR                         1S"," 40","4040.00"," 40","4040.00"," 40","4506.00"," 40","4040.00","  -"
"MEE CLEAN                     200ML"," 20","800.00","-20","-796.80","  -","0.00","  -","0.00","  -"
"MIOCHOL 1ML                   1ML","  6","115.69"," 66","1272.60"," 39","919.23"," 33","636.30","  -"
"MOXIFUR INJ 1ML               1ML","  -","0.00"," 90","3394.40"," 42","1979.88"," 48","1851.49","  -"
"MOXIFUR-LP                    5ML"," 24","1540.20","  -","0.00","  -","0.00"," 24","1540.20"," 24"
"","","","","","","","","",""
"TOTAL","746","44592.10","840","51158.30","741","45059.71","845","56963.6","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..2","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"MYOPED                        5ML"," 17","1991.41","  -","0.00","  7","861.01"," 10","1171.42","  -"
"RHEX-ID 1ML                   1ML"," 37","1950.24","176","9276.80","109","7022.87","104","5481.75","  -"
"SUPRACOAT PLUS                1ML","  1","990.00","  -","0.00","  -","0.00","  1","990.00","  -"
" TOTAL","534","29130.07","912","50824.26","658","41930.90","788","44978.5","  0"
"","","","","","","","","",""
"APPLE PHARMACEUTICALS","","","","","","","","",""
"ADD-LUBI                      10ML"," 12","900.00","  -","0.00","  -","0.00"," 12","900.00"," 12"
"MOXAP-LP                      5ML"," 36","3166.02","  -","0.00","  -","0.00"," 36","3166.02","  -"
"NEPAFLO E/D                   5ML","  -","0.00"," 60","5445.00","  -","0.00"," 60","5445.00","  -"
" TOTAL"," 48","4066.02"," 60","5445.00","  0","0.00","108","9511.02","  0"
"","","","","","","","","",""
"AUROLAB","","","","","","","","",""
"AUROMIDE PLUS                 5ML","  1","40.91","  -","0.00","  -","0.00","  1","40.91","  -"
"FLURES                        3ML"," 40","3764.00","  -","0.00"," 20","2000.00"," 20","1882.00","  -"
"PILO                          5ML","  1","39.33","  -","0.00","  -","0.00","  1","39.33","  -"
"TPROST                        3ML"," 40","3625.00"," 40","3625.00"," 40","4640.00"," 40","3625.00","  -"
"VOZOLE E/D                    30MG"," 61","13725.00","  5","1125.00"," 47","13160.00"," 19","4275.00","  1"
" TOTAL","143","21194.24"," 45","4750.00","107","19800.00"," 81","9862.24","  0"
"","","","","","","","","",""
"BORN HEALTHCARE PVT LTD","","","","","","","","",""
"NS-500ML                      500ML","  1","23.50","  5","117.50","  5","125.00","  1","23.50","  1"
" TOTAL","  1","23.50","  5","117.50","  5","125.00","  1","23.50","  0"
"","","","","","","","","",""
"CADILA","","","","","","","","",""
"DEXASONE 2ML                  2ML"," 10","63.00"," 20","126.00"," 20","140.00"," 10","63.00","  -"
" TOTAL"," 10","63.00"," 20","126.00"," 20","140.00"," 10","63.00","  0"
"","","","","","","","","",""
"CARE GROUP","","","","","","","","",""
"CANNULA NEEDLE                1S","270","270.00","  -","0.00","  -","0.00","270","270.00","270"
"CARELUB                       10ML"," 59","4068.05","  -","0.00","  -","0.00"," 59","4068.05","  -"
"CARELUB-DS                    10ML"," 33","2275.35","  -","0.00","  -","0.00"," 33","2275.35","  -"
"CONTACAINE SOL                5ML"," 24","802.32","  -","0.00","  -","0.00"," 24","802.32"," 10"
"CONTASOL BSS(PP)              250ML"," 24","1425.60","  -","0.00","  -","0.00"," 24","1425.60","  -"
"CONTASOL BSS(PP)              500ML","  1","110.00","  -","0.00","  -","0.00","  1","110.00","  1"
"CONTASOL GLASS 500ML          1'S","  7","824.18","  -","0.00","  -","0.00","  7","824.18","  1"
"FLUO STRIPS                   100S","  -","0.00"," 20","2970.00"," 16","2850.00","  4","600.00","  -"
"MOCARE-LP                     5ML"," 60","4137.00","  -","0.00","  -","0.00"," 60","4137.00"," 12"
"NEPACON                       5ML"," 48","3298.56","  -","0.00","  -","0.00"," 48","3298.56"," 48"
" TOTAL","526","17211.06"," 20","2970.00"," 16","2850.00","530","17811.0","  0"
"","","","","","","","","",""
"CIPLA","","","","","","","","",""
"ITRANOX 200                   4S"," 40","1724.80","  -","0.00","  -","0.00"," 40","1724.80"," 40"
"OMNIX 200DT                   10S"," 10","567.08","  -","0.00","  -","0.00"," 10","567.08"," 10"
"OMNIX-O TAB                   10S","  1","77.78","  -","0.00","  -","0.00","  1","77.78","  1"
" TOTAL"," 51","2369.66","  0","0.00","  0","0.00"," 51","2369.66","  0"
"","","","","","","","","",""
"TOTAL","1580","94451.23","1166","73843.60","1005","75858.59","1741","104247.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..3","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"","","","","","","","","",""
"CLARIS OSTUKA","","","","","","","","",""
"MANNITOL 100ML                1S","  -","0.00"," 10","250.00"," 10","270.00","  -","0.00","  -"
"RL-500ML                      1S","  -","0.00"," 58","1557.30"," 58","1624.00","  -","0.00","  -"
"ST WATER 10ML                 50","  -","0.00","  2","210.00","  -","0.00","  2","214.00","  -"
" TOTAL","  0","0.00"," 70","2017.30"," 68","1894.00","  2","214.00","  0"
"","","","","","","","","",""
"COASTAL HEALTH CARE","","","","","","","","",""
"ULTRA SCAN GEL                1S","  2","44.00","  -","0.00","  -","0.00","  2","44.00","  -"
" TOTAL","  2","44.00","  0","0.00","  0","0.00","  2","44.00","  0"
"","","","","","","","","",""
"DIAMOND MEDI CARE","","","","","","","","",""
"DI.BUFFANT CAP BL             1'S","  -","0.00","200","310.00","200","360.00","  -","0.00","  -"
"DI.EYE PAD 6*6                1S"," 50","500.00","  -","0.00","  -","0.00"," 50","500.00"," 50"
"DI.SHOE COVER                 1S","  -","0.00","100","160.00","100","180.00","  -","0.00","  -"
" TOTAL"," 50","500.00","300","470.00","300","540.00"," 50","500.00","  0"
"","","","","","","","","",""
"DISPOVAN","","","","","","","","",""
"DISPOVAN 2ML SYG              1S","100","175.00","300","525.00","200","375.00","200","350.00","  -"
"DISPOVAN NDL 24               100S","  -","0.00","  4","272.00","  4","300.00","  -","0.00","  -"
"DISPOVAN NDL 26               100S","  -","0.00"," 15","1020.00"," 10","738.00","  5","355.00","  -"
"DISPOVAN SYG 10ML             1S","  -","0.00"," 50","182.50"," 50","200.00","  -","0.00","  -"
"DISPOVAN SYG 5ML              1S","100","235.00","  -","0.00","  -","0.00","100","235.00","  -"
" TOTAL","200","410.00","369","1999.50","264","1613.00","305","940.00","  0"
"","","","","","","","","",""
"DYNAMIC TECHNO MEDICALS PVT LTD","","","","","","","","",""
"KNEECAP TYNOR L               1P","  1","175.00","  -","0.00","  -","0.00","  1","175.00","  -"
" TOTAL","  1","175.00","  0","0.00","  0","0.00","  1","175.00","  0"
"","","","","","","","","",""
"ENTOD PHAMA(ENSIGHT)","","","","","","","","",""
"AB-PRESS PF                   10ML"," 10","2343.94","  -","0.00","  8","2450.00","  2","468.79","  -"
"ABPRESS                       5ML","  9","1300.46"," 25","4018.24"," 25","4464.50","  9","1300.46","  -"
"ADBROM                        5ML"," 94","6496.20"," 70","4837.60"," 77","6003.87"," 87","6012.44","  -"
"CATAGON                       10ML","  9","485.62","240","12949.98","157","9782.88"," 92","4964.15","  -"
"CYCLOFEZ                      5ML"," 40","1671.60"," 25","1044.75"," 27","1228.53"," 38","1588.02","  -"
"E-FLO DROPS                   5ML"," 73","3955.64","  -","0.00"," 12","842.90"," 61","3305.39","  -"
"ENGATT E/D                    5ML"," 10","467.55"," 70","2362.55","  8","411.60"," 72","3366.36","  3"
"ENLUBE                        10ML","103","7708.61"," 70","5503.11"," 83","7330.09"," 90","6735.68","  -"
"ENLUBE FUSION E/D             5ML"," 31","2714.78"," 70","6951.64"," 28","2676.97"," 73","6392.87","  -"
"ENTRAK SOOTHE                 5GM"," 26","4875.39","  -","0.00"," 26","5349.95","  -","0.00","  -"
"FLUBI E/D                     5ML","  -","0.00"," 30","1298.60"," 24","1131.12","  6","283.31","  -"
"FLUBICHLOR E/D                5ML"," 15","737.25","  -","0.00","  1","63.57"," 14","688.10","  -"
"FLUBIGAT                      5ML","  -","0.00"," 30","1765.35","  5","355.25"," 25","1359.50","  -"
"FLUCOCID                      5ML"," 40","1375.60","145","3561.89","165","4469.60"," 20","687.80","  -"
"FLUNATOD 10                   10S","140","3381.00","  -","0.00","140","3601.50","  -","0.00","  -"
"GANCIGEL                      5GM","  3","248.60"," 24","1851.55","  -","0.00"," 27","2237.36","  -"
"HOMACID                       5ML","  9","205.38","400","10156.00","384","10584.60"," 25","570.50","  -"
"LACRYL HYDRATE                10ML","  9","2415.53","  -","0.00","  6","1699.83","  3","805.18","  1"
"LACRYL SOOTHE                 10ML","  9","580.64","  -","0.00","  -","0.00","  9","580.64","  -"
"","","","","","","","","",""
"TOTAL","2463","136544.01","3104","134631.66","2813","142352.35","2754","147466.","  0"
"","","","Continued .","","","","","",""
"","","","","","","","","",""
"SRI HANUMAN MEDICAL DISTRIBUTORS","","","","","","","","",""
"","","","Page No..4","","","","","",""
"STOCK & SALES ANALYSIS","","","","","","","","",""
"ITEM DESCRIPTION","   OPENING","","   RECEIPT","","   ISSUE","","   CLOSING","","DUMP"
"","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY.","VALUE","QTY."
"","","","","","","","","",""
"LACRYL ULTRA E/D              10ML"," 29","6354.65","  -","0.00"," 13","3146.35"," 16","3506.01","  -"
"LACRYL-PF                     5GM"," 14","918.01","130","8903.64","120","9441.88"," 24","1573.74","  -"
"LACRYL-PLUS                   10ML"," 18","761.85","  -","0.00","  5","276.51"," 13","550.23"," 12"
"LOT OINTMENT                  5GM"," 27","1876.58","250","15535.78","273","19792.23","  4","278.01","  -"
"LOT-LS                        5ML"," 18","1109.04","  -","0.00","  -","0.00"," 18","1109.04","  -"
"MACUSHIELD TAB                10S","  1","79.66","  -","0.00","  -","0.00","  1","79.66","  1"
"MOTOGRAM E/D                  5ML","  -","0.00"," 30","3150.25","  -","0.00"," 30","3150.25","  -"
"MYATRO E/D                    5ML"," 26","3222.67"," 60","7171.54"," 37","5641.01"," 49","6073.50","  -"
"NATACIN                       5ML"," 50","4202.76","100","6164.31"," 90","6442.79"," 60","5043.31","  -"
"NEPAONCE                      3ML","  -","0.00"," 30","4677.12"," 30","5092.57","  -","0.00","  -"
"OMEFLOX E/D                   5ML"," 18","542.89","  -","0.00"," 18","653.55","  -","0.00","  -"
"OMEFLOX-BM                    5GM","  -","0.00"," 40","643.20","  5","85.60"," 35","573.65","  -"
"OPTICOOL E/D                  10ML"," 19","1038.24"," 70","3503.57"," 30","1907.57"," 59","3224.00","  -"
"PRESS-DT                      10S","  -","0.00"," 80","2133.60"," 80","2284.62","  -","0.00","  -"
"RHOPRESS E/D                  2.5ML","  6","1398.20","  -","0.00","  -","0.00","  6","1398.20","  -"
"SOLINE 5                      10ML"," 70","3763.49","105","4293.31"," 97","4505.34"," 78","4193.61","  -"
"SOLINE-6                      3GM","  1","84.07"," 96","7971.84"," 94","8333.40","  3","252.20","  -"
"T-1                           3ML"," 29","4508.76","  -","0.00","  3","692.78"," 26","4042.34","  -"
"TIMOL P                       10ML"," 69","3142.26"," 75","3622.50"," 68","2886.45"," 76","3461.04","  -"
"TOBRACID-F                    5ML"," 19","1267.40","  -","0.00"," 14","1778.60","  5","333.53","  -"
"TROMIDE-PLUS                  5ML"," 31","1370.31","  -","0.00"," 31","1819.76","  -","0.00","  -"
" TOTAL","1075","76604.62","2265","124071.92","2184","137227.77","1156","80188.8","  0"
"","","","","","","","","",""
"ENTOD PHARMA-G TECH","","","","","","","","",""
"AUDIOVIT CAP                  10S"," 60","9161.23"," 90","13741.85","120","19756.46"," 30","4580.62","  -"
"AUDIOVIT-Z                    10C","  6","948.28","  -","0.00","  -","0.00","  6","948.28","  -"
"AZENATE NASAL SPRAY           9.8ML","  1","192.34","  -","0.00","  -","0.00","  1","192.34","  -"
"E-SALIVA PLUS MOUTHSPRAY      15ML"," 28","3524.97","  -","0.00","  1","149.80"," 27","3399.08","  -"
"ENTOMED PLUS CAP              10S"," 14","502.48","  -","0.00","  -","0.00"," 14","502.48","  -"
"FEXAGON PLUS TAB              10S"," 42","2981.55"," 60","4259.34"," 84","6208.30"," 18","1277.81","  -"
"MEFENTOD-P SYP                60ML","  6","161.21","  -","0.00","  -","0.00","  6","161.21","  -"
"MOMFIT NASAL SPRAY            10ML"," 12","1575.00","  -","0.00","  -","0.00"," 12","1575.00","  -"
"NASOLINE NASAL SPRAY          10ML"," 15","389.78","  -","0.00","  7","207.84","  8","207.88","  4"
"ORINASE-A                     10ML"," 24","841.86","  -","0.00","  -","0.00"," 24","841.86","  -"
"OTOBIOTIC                     5ML","120","8036.64","250","15429.28","226","15897.38","144","9643.97","  -"
"OTOBIOTIC PLUS NEW            5ML"," 30","1157.25","  -","0.00"," 18","691.92"," 12","462.90","  -"
"OTOCIL                        10ML","  -","0.00"," 30","2097.42"," 30","2330.25","  -","0.00","  -"
"OTOFUNGIN E/D                 10ML"," 68","2622.60","  -","0.00","  -","0.00"," 68","2622.60","  -"
"OTOGON EAR DROPS              10ML","  4","383.60","  -","0.00","  2","255.72","  2","191.80","  -"
"RHINASE NASAL DROPS           10ML","  2","143.58","  -","0.00","  -","0.00","  2","143.58","  -"
