"SNo.","ITEM CODE","ITEM DESCRIPTION","Company"
"1","12*75TEST","TUBES BOROSILICATE  100","OTHERS"
"2","","2-0CENTISILK5003              1S","CENTENIAL SURGICAL SUTURES"
"3","3-0","CENTISORB2437             1S","CENTENIAL SURGICAL SUTURES"
"4","3M HANDRUB","500ML              1S","3M"
"5","3M","OPTICLUDE 1539/20 A        1S","3M"
"6","4QUIN","                  5ML","ENTOD PHARMACEUTICALS LTD"
"7","4QUIN E/O","                  5GM","ENTOD PHARMACEUTICALS LTD"
"8","4QUIN KT","E/D                  5ML","ENTOD PHARMACEUTICALS LTD"
"9","4QUIN PFS","0.5ML               1S","ENTOD PHARMACEUTICALS LTD"
"10","4QUIN-BROM","                  5ML","ENTOD PHARMACEUTICALS LTD"
"11","4QUIN-D","                  5ML","ENTOD PHARMACEUTICALS LTD"
"12","4QUIN-LOT","                  5ML","ENTOD PHARMACEUTICALS LTD"
"13","A-CAINE","                  5ML","APPASAMY OCULAR DEVICES P"
"14","A-WAYLABLE","                  10ML","HIS EYENESS OPTHALMICS"
"15","AB-PRESS PF","                  10ML","ENTOD GLOTEK DIVISION"
"16","ABPRESS","                  5ML","ENTOD GLOTEK DIVISION"
"17","ACCUNAC DUO","E/D               5ML","HIS EYENESS OPTHALMICS"
"18","ACIVIR","200DT                  10S","CIPLA"
"19","ACIVIR 400","                  5T","CIPLA"
"20","ACIVIR","800DT                  5S","CIPLA"
"21","ACTIFUL","                  15S","TAS MED(INDIA)PVT.LTD(VALL"
"22","ACTIHEALTH","DHA GUMMIES        30S","APPLE PHARMACEUTICALS"
"23","ACTINERVE","OD TAB              10S","APPLE PHARMACEUTICALS"
"24","ACTIVISION","CAP                10'S","SENTISS PHARMA PVT LTD"
"25","","AD.DIAPERPANT XL              10S","TRUCHEK"
"26","ADBROM","                  5ML","ENTOD PHAMA(ENSIGHT)"
"27","ADD-LUBI","                  10ML","APPLE PHARMACEUTICALS"
"28","ADDWET E/D","                  10ML","VYONICS HEALTHCARE INDIA P"
"29","ADULT","DIAPER M                10S","RAMSONS"
"30","ADULT","DIAPER RMS XL           10S","RAMSONS"
"31","AERO MIST","ADULT               1S","RAMSONS"
"32","AERO-MIST","CHILD               1S","RAMSONS"
"33","AFLUR","                  5ML","APPASAMY OCULAR DEVICES P"
"34","ALCATOP 5ML","                  5ML","SUNWAYS PHARMACEUTICALS"
"35","ALCO SWAB","                  1S","RAMSONS"
"36","ALCOHOL","PREP PADS             100PCS","CARENOW"
"37","ALDAY TAB","                  10S","SH PHARMACEUTICALS"
"38","ALDAY TAB","                  10S","SH PHARMACEUTICALS"
"39","ALFABET E/D","                  5ML","HIS EYENESS OPTHALMICS"
"40","ALFABET PF","E/D                10ML","HIS EYENESS OPTHALMICS"
"41","ALGIC PLUS","E/D                5ML","SUNWAYS PHARMACEUTICALS(RE"
"42","ALLAR CARE","                  5ML","OCUZEN HEALTH CARE"
"43","ALLERNIL-O","                  5ML","APPASAMY OCULAR DEVICES P"
"44","ALLERPAT","                  5ML","SENSES PHARMACEUTICALS LTD"
"45","ALLERPAT OD","                  3ML","SENSES PHARMACEUTICALS LTD"
"46","ALLEVION","MAX                  5ML","AICE HEALTH CARE PVT LTD"
"47","ALSPAR TABS","                  10S","ALEMBIC PHARMACEUTICALS LT"
"48","AMBU BAG","ADULT                1S","ARYAN"
"49","","AMICIN-500MG                  1S","BIOCHEM"
"50","","AMINOPHYLLIN 10ML             1S","HINDUSTAN MEDICINES PVT LT"
"51","AMITOP 10","                  10S","TAS MED(INDIA)PVT.LTD(VALL"
"52","AMITOP 25","                  10'S","TAS MED(INDIA)PVT.LTD(VALL"
"53","AMITOP PLUS","H                 10'S","TAS MED(INDIA)PVT.LTD(VALL"
"54","AMLIP-AT","                  10S","CIPLA"
"","","","           Continued..2"
"","","",""
"","","",""
"","","",""
"","","",""
"SRI HAN","","",""
"LIST OF","","",""
"","","","             Page No..2"
"SNo.","ITEM CODE","ITEM DESCRIPTION","Company"
"55","AMPLIVIT","                  200ML","DOLPHIN DRUGS"
"56","ANAWIN0.5%","20ML               1S","NEON LABORATORIES LTD"
"57","ANESTOP","                  5ML","HICARE PHARMA"
"58","ANGLIT 2.6","                  30S","TAS MED(INDIA)PVT.LTD(VALL"
"59","ANGULAR","CANNULA 27G           1S","RAJ MEDITECH INSTRUMENTS P"
"60","ANOBLISS","                  30GM","SAMARTH LIFE SCIENCES PVT"
"61","ANTICET TAB","                  10S","SENSES PHARMACEUTICALS LTD"
"62","ANTOX 4G","                  10S","TAS MED(INDIA)PVT.LTD(VALL"
"63","APDROPS","                  5ML","AJANTA PHARMA LTD"
"64","APDROPS PD","                  10ML","AJANTA PHARMA LTD"
"65","APIDINE","PLUS                  5ML","APPASAMY OCULAR DEVICES P"
"66","APIDINE-5","                  5ML","APPASAMY OCULAR DEVICES P"
"67","APPA 23G","CANNUL               1S","APPASAMY OCULAR DEVICES P"
"68","APPAMIDE","PLUS                 5ML","APPASAMY OCULAR DEVICES P"
"69","APPAVISC","5ML                  5ML","APPASAMY OCULAR DEVICES P"
"70","APPAVISC","PFS 2.4              3ML","APPASAMY OCULAR DEVICES P"
"71","APPAVISC","PFS 3ML              3ML","APPASAMY OCULAR DEVICES P"
"72","APPAVISC","VAIL 3ML             3ML","APPASAMY OCULAR DEVICES P"
"73","AQUA-AP","                  10'S","MEDRICA PHARMACEUTICALS PV"
"74","AQUALUBE","                  10ML","AJANTA PHARMA LTD"
"75","AQUALUBE","LIQ GEL              10ML","AJANTA PHARMA LTD"
"76","AQUASURGE","E/D                 10ML","IPCA LABORATORIES LTD"
"77","AQUASURGE","MAX E/D             10ML","IPCA LABORATORIES LTD"
"78","AQUIM","                  5ML","HIS EYENESS OPTHALMICS"
"79","AQUIM GEL","                  10GM","HIS EYENESS OPTHALMICS"
"80","AQUIM LID","WIPES               10S","HIS EYENESS OPTHALMICS"
"81","AQUIM LID","WIPES               20S","HIS EYENESS OPTHALMICS"
"82","AQUIM PF","                  10ML","HIS EYENESS OPTHALMICS"
"83","AQUIM T E/D","                  10ML","HIS EYENESS OPTHALMICS"
"84","AQUIM T E/D","                  5ML","HIS EYENESS OPTHALMICS"
"85","ARA E/D","                  10ML","SUNWAYS PHARMACEUTICALS(RE"
"86","ARA GEL","                  10GM","SUNWAYS PHARMACEUTICALS(RE"
"87","ARISTOZYME","SYP                200ML","ARISTO PHAMACEUTICALS PVT"
"88","ART","                  10ML","APPASAMY OCULAR DEVICES P"
"89","ART GEL","                  10ML","APPASAMY OCULAR DEVICES P"
"90","ART PLUS","                  10ML","APPASAMY OCULAR DEVICES P"
"91","ASCOUX","                  200ML","SUBHAM PHARMACEUTICALS"
"92","ASTA GOLD","                  10S","SUNWAYS PHARMACEUTICALS"
"93","ASTA-1 CAPS","                  10S","SUNWAYS PHARMACEUTICALS(RE"
"94","ASTHALIN AX","SYP               100ML","CIPLA"
"95","ATEN-50","                  14S","ZUDUS CADILA"
"96","ATROP","                  5ML","AUROLAB"
"97","ATROSULPH","E/D                 5ML","ENTOD PHAMA(ENSIGHT)"
"98","ATROSUN E/D","                  5ML","SUNWAYS PHARMACEUTICALS"
"99","ATROZEN E/O","                  5GM","SENSES PHARMACEUTICALS LTD"
"100","AUDIOVIT","CAP                  10S","ENTOD PHARMA-G TECH"
"101","AUDIOVIT-Z","                  10C","ENTOD PHARMA-G TECH"
"102","AUDISOL E/D","                  10ML","SUNWAYS PHARMACEUTICALS(RE"
"103","AURO CMC","                  10ML","AUROLAB"
"104","AUROCAINE","                  5ML","AUROLAB"
"105","AUROCARPINE","0.5%              1ML","AUROLAB"
