company_name,inventory_month,month,total_opening_value,avg_opening_value,total_receipt_value,avg_receipt_value,total_issue_value,avg_issue_value,total_closing_value,avg_closing_value
MEDIKLIN HEALTHCARE LTD,2022-04-01,April,942.5,942.5,800.0,800.0,500.0,500.0,1232.5,1232.5
RAMAN&WEIL PVT LTD,2022-04-01,April,1528.0,1528.0,0.0,0.0,635.0,635.0,1020.0,1020.0
3M,2022-04-01,April,0.0,0.0,528.0,528.0,600.0,600.0,0.0,0.0
SANGAM HEALTHCARE (SAFTI-N,2022-04-01,April,38.25,38.25,0.0,0.0,0.0,0.0,38.25,38.25
CLARIS OSTUKA,2022-04-01,April,0.0,0.0,345.0,345.0,369.0,369.0,0.0,0.0
RAMSONS,2022-04-01,April,0.0,0.0,430.0,430.0,500.0,500.0,0.0,0.0
CIPLA,2022-04-01,April,2369.66,2369.66,0.0,0.0,0.0,0.0,2369.66,2369.66
GLASS VAN,2022-04-01,April,0.0,0.0,235.0,235.0,270.0,270.0,0.0,0.0
PRIDE&PRIME PHARMACEUTICAL,2022-04-01,April,14759.21,14759.21,8869.5,8869.5,13357.0,13357.0,13344.96,13344.96
CARE GROUP,2022-04-01,April,34451.54,34451.54,33042.96,33042.96,11830.18,11830.18,57642.24,57642.24
ALKEM HEALTH SCIENCES,2022-04-01,April,0.0,0.0,637.5,637.5,687.5,687.5,0.0,0.0
JOHNSON & JOHNSON,2022-04-01,April,0.0,0.0,4877.45,4877.45,5650.72,5650.72,0.0,0.0
TAS MED(INDIA)PVT.LTD(VALL,2022-04-01,April,28165.19,28165.19,45095.44,45095.44,35981.08,35981.08,42541.41,42541.41
ENTOD GLOTEK DIVISION,2022-04-01,April,5877.03,5877.03,15800.83,15800.83,11717.95,11717.95,12382.81,12382.81
VKEY,2022-04-01,April,630.0,630.0,0.0,0.0,290.0,290.0,420.0,420.0
HICARE PHARMA,2022-04-01,April,24376.48,24376.48,16603.6,16603.6,2182.46,2182.46,38688.58,38688.58
MADHU INSTRUMENTS PVT. LTD,2022-04-01,April,1380.0,1380.0,0.0,0.0,0.0,0.0,1380.0,1380.0
ENTOD PHAMA(ENSIGHT),2022-04-01,April,25119.02,25119.02,33753.55,33753.55,30653.12,30653.12,30632.01,30632.01
SENSES PHARMACEUTICALS LTD,2022-04-01,April,59534.61,59534.61,37726.96,37726.96,42082.34,42082.34,59645.22,59645.22
AUROLAB,2022-04-01,April,14727.56,14727.56,2823.0,2823.0,6190.37,6190.37,11973.81,11973.81
FSD CARE PHRAMA PVT LTD,2022-04-01,April,6208.2,6208.2,0.0,0.0,0.0,0.0,6208.2,6208.2
