inventory_month,month,total_opening_value,avg_opening_value,total_receipt_value,avg_receipt_value,total_issue_value,avg_issue_value,total_closing_value,avg_closing_value
2022-04-01,April,967287.06,967287.06,1025495.5,1025495.5,895144.48,895144.48,1234588.21,1234588.21
2022-05-01,May,1234589.24,1100938.15,821112.26,923303.88,846161.5,870652.99,1351950.76,1293269.48
2022-06-01,June,1351951.94,1184609.41,914694.6,920434.12,909036.4,883447.46,1438354.5,1341631.16
2022-07-01,July,1438355.56,1341632.25,853383.7,863063.52,969273.21,908157.04,1416085.41,1402130.22
2022-08-01,August,1416086.7,1402131.4,830514.49,866197.6,1074433.11,984247.57,1357664.64,1404034.85
2022-09-01,September,1357665.72,1404035.99,903371.78,862423.32,1200819.13,1081508.48,1180067.72,1317939.26
2022-10-01,October,1180068.69,1317940.37,854884.8,862923.69,957169.02,1077473.75,1170999.9,1236244.09
2022-11-01,November,1164730.12,1234154.84,1043600.39,933952.32,1127089.02,1095025.72,1279735.59,1210267.74
2022-12-01,December,1285178.12,1209992.31,912488.26,936991.15,1238320.49,1107526.18,1108030.13,1186255.21
2023-01-01,January,1108031.16,1185979.8,725750.39,893946.35,828950.56,1064786.69,1129721.34,1172495.69
2023-02-01,February,1129722.21,1174310.5,1071409.13,903215.93,1277804.67,1115025.24,1054046.83,1097266.1
2023-03-01,March,1054047.57,1097266.98,499642.17,765600.56,825483.92,977413.05,910693.89,1031487.35
2023-04-01,April,937537.39,1040435.72,1112189.77,894413.69,1099818.08,1067702.22,1097495.94,1020745.55
2023-05-01,May,1097496.74,1029693.9,748530.32,786787.42,877502.58,934268.19,1072928.54,1027039.46
2023-06-01,June,1072929.45,1035987.86,664892.51,841870.87,833438.28,936919.65,1019525.72,1063316.73
2023-07-01,July,1017069.11,1062498.43,1047481.38,820301.4,1062056.05,924332.3,1129950.52,1074134.93
2023-08-01,August,1129951.67,1073316.74,960383.42,890919.1,1198084.93,1031193.09,1023132.05,1057536.1
2023-09-01,September,1023946.54,1056989.11,827691.53,945185.44,756102.83,1005414.6,1158980.95,1104021.17
2023-10-01,October,1158981.81,1104293.34,671141.11,819738.69,838234.66,930807.47,1104829.17,1095647.39
2023-11-01,November,1104829.82,1095919.39,566916.25,688582.96,904564.39,832967.29,908492.5,1057434.21
2023-12-01,December,908493.01,1057434.88,729278.91,655778.76,827855.86,856884.97,922670.57,978664.08
2024-01-01,January,922671.11,978664.65,834579.75,710258.3,761567.84,831329.36,1092566.21,974576.43
2024-02-01,February,1092567.07,974577.06,968012.63,843957.1,1027861.76,872428.49,1163977.83,1059738.2
2024-03-01,March,1163978.9,1059739.03,609192.53,803928.3,900502.29,896643.96,1013514.18,1090019.41
2024-04-01,April,1018071.36,1091539.11,1264198.37,947134.51,880147.83,936170.63,1534339.16,1237277.06
2024-05-01,May,1534340.16,1238796.81,951848.35,941746.42,1100001.65,960217.26,1526473.13,1358108.82
